Start of song
Instrument: cello
Start of notes
Note: beat=71, position=3, pitch=E3, duration=1, instrument=cello
Note: beat=71, position=4, pitch=G#3, duration=2, instrument=cello
Note: beat=71, position=6, pitch=C#3, duration=3, instrument=cello
Note: beat=71, position=9, pitch=A3, duration=3, instrument=cello
Note: beat=72, position=0, pitch=D4, duration=3, instrument=cello
Note: beat=72, position=3, pitch=E4, duration=3, instrument=cello
Note: beat=72, position=6, pitch=C#4, duration=3, instrument=cello
Note: beat=72, position=9, pitch=F#4, duration=3, instrument=cello
Note: beat=73, position=0, pitch=D4, duration=3, instrument=cello
Note: beat=73, position=3, pitch=E4, duration=3, instrument=cello
Note: beat=73, position=6, pitch=C#4, duration=3, instrument=cello
Note: beat=73, position=9, pitch=F#4, duration=3, instrument=cello
Note: beat=74, position=0, pitch=D4, duration=3, instrument=cello
Note: beat=74, position=3, pitch=E4, duration=3, instrument=cello
Note: beat=74, position=6, pitch=C#4, duration=3, instrument=cello
Note: beat=74, position=9, pitch=D4, duration=3, instrument=cello
Note: beat=75, position=0, pitch=E4, duration=3, instrument=cello
Note: beat=75, position=3, pitch=E3, duration=3, instrument=cello
Note: beat=75, position=6, pitch=A2, duration=3, instrument=cello
Note: beat=75, position=9, pitch=A3, duration=3, instrument=cello
Note: beat=76, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=76, position=3, pitch=E3, duration=3, instrument=cello
Note: beat=76, position=6, pitch=C#3, duration=3, instrument=cello
Note: beat=76, position=9, pitch=F#3, duration=3, instrument=cello
Note: beat=77, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=77, position=3, pitch=E3, duration=3, instrument=cello
Note: beat=77, position=6, pitch=C#3, duration=3, instrument=cello
Note: beat=77, position=9, pitch=F#3, duration=3, instrument=cello
Note: beat=78, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=78, position=3, pitch=E3, duration=3, instrument=cello
Note: beat=78, position=6, pitch=C#3, duration=3, instrument=cello
Note: beat=78, position=9, pitch=D3, duration=3, instrument=cello
Note: beat=79, position=0, pitch=E3, duration=3, instrument=cello
Note: beat=79, position=3, pitch=E3, duration=3, instrument=cello
Note: beat=79, position=6, pitch=A2, duration=6, instrument=cello
Note: beat=80, position=3, pitch=E3, duration=3, instrument=cello
Note: beat=80, position=6, pitch=D#3, duration=3, instrument=cello
Note: beat=80, position=9, pitch=B2, duration=3, instrument=cello
Note: beat=81, position=0, pitch=E3, duration=3, instrument=cello
Note: beat=81, position=3, pitch=E2, duration=3, instrument=cello
Note: beat=81, position=6, pitch=B2, duration=3, instrument=cello
Note: beat=81, position=9, pitch=A2, duration=3, instrument=cello
Note: beat=82, position=0, pitch=G#2, duration=3, instrument=cello
Note: beat=82, position=3, pitch=E3, duration=3, instrument=cello
Note: beat=82, position=6, pitch=D#3, duration=3, instrument=cello
Note: beat=82, position=9, pitch=B2, duration=3, instrument=cello
Note: beat=83, position=0, pitch=E3, duration=3, instrument=cello
Note: beat=83, position=3, pitch=E2, duration=3, instrument=cello
Note: beat=83, position=6, pitch=B2, duration=3, instrument=cello
Note: beat=83, position=9, pitch=A3, duration=3, instrument=cello
Note: beat=84, position=0, pitch=G#3, duration=3, instrument=cello
Note: beat=84, position=3, pitch=E3, duration=3, instrument=cello
Note: beat=84, position=6, pitch=A3, duration=3, instrument=cello
Note: beat=84, position=9, pitch=F#3, duration=3, instrument=cello
Note: beat=85, position=0, pitch=B3, duration=3, instrument=cello
Note: beat=85, position=3, pitch=G#3, duration=3, instrument=cello
Note: beat=85, position=6, pitch=C#4, duration=3, instrument=cello
Note: beat=85, position=9, pitch=A3, duration=3, instrument=cello
Note: beat=86, position=0, pitch=G#3, duration=3, instrument=cello
Note: beat=86, position=3, pitch=E3, duration=3, instrument=cello
Note: beat=86, position=6, pitch=A3, duration=3, instrument=cello
Note: beat=86, position=9, pitch=F#3, duration=3, instrument=cello
Note: beat=87, position=0, pitch=B3, duration=3, instrument=cello
Note: beat=87, position=3, pitch=B2, duration=3, instrument=cello
Note: beat=87, position=6, pitch=E2, duration=3, instrument=cello
Note: beat=87, position=9, pitch=E3, duration=6, instrument=cello
Note: beat=88, position=3, pitch=D#3, duration=3, instrument=cello
Note: beat=88, position=6, pitch=E3, duration=3, instrument=cello
Note: beat=88, position=9, pitch=C#3, duration=3, instrument=cello
Note: beat=89, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=89, position=3, pitch=A#2, duration=3, instrument=cello
Note: beat=89, position=6, pitch=B2, duration=3, instrument=cello
Note: beat=89, position=9, pitch=B3, duration=6, instrument=cello
Note: beat=90, position=3, pitch=A#3, duration=3, instrument=cello
Note: beat=90, position=6, pitch=B3, duration=3, instrument=cello
Note: beat=90, position=9, pitch=G#3, duration=3, instrument=cello
Note: beat=91, position=0, pitch=A3, duration=3, instrument=cello
Note: beat=91, position=3, pitch=F3, duration=3, instrument=cello
Note: beat=91, position=6, pitch=F#3, duration=9, instrument=cello
Note: beat=92, position=3, pitch=A3, duration=3, instrument=cello
Note: beat=92, position=6, pitch=B3, duration=3, instrument=cello
Note: beat=92, position=9, pitch=D4, duration=3, instrument=cello
Note: beat=93, position=0, pitch=E4, duration=3, instrument=cello
Note: beat=93, position=3, pitch=G#3, duration=3, instrument=cello
Note: beat=93, position=6, pitch=A3, duration=3, instrument=cello
Note: beat=93, position=9, pitch=C#4, duration=3, instrument=cello
Note: beat=94, position=0, pitch=D4, duration=3, instrument=cello
Note: beat=94, position=3, pitch=F#3, duration=3, instrument=cello
Note: beat=94, position=6, pitch=G#3, duration=3, instrument=cello
Note: beat=94, position=9, pitch=B3, duration=3, instrument=cello
Note: beat=95, position=0, pitch=C#4, duration=3, instrument=cello
Note: beat=95, position=3, pitch=F3, duration=3, instrument=cello
Note: beat=95, position=6, pitch=F#3, duration=3, instrument=cello
Note: beat=95, position=9, pitch=C#4, duration=3, instrument=cello
Note: beat=96, position=0, pitch=A3, duration=2, instrument=cello
Note: beat=96, position=2, pitch=C#4, duration=1, instrument=cello
Note: beat=96, position=3, pitch=F#4, duration=1, instrument=cello
Note: beat=96, position=4, pitch=E4, duration=2, instrument=cello
Note: beat=96, position=6, pitch=D4, duration=2, instrument=cello
Note: beat=96, position=8, pitch=F#4, duration=1, instrument=cello
Note: beat=96, position=9, pitch=B3, duration=1, instrument=cello
Note: beat=96, position=10, pitch=D4, duration=2, instrument=cello
Note: beat=97, position=0, pitch=G#3, duration=2, instrument=cello
Note: beat=97, position=2, pitch=B3, duration=1, instrument=cello
Note: beat=97, position=3, pitch=E4, duration=1, instrument=cello
Note: beat=97, position=4, pitch=D4, duration=2, instrument=cello
Note: beat=97, position=6, pitch=C#4, duration=2, instrument=cello
Note: beat=97, position=8, pitch=E4, duration=1, instrument=cello
Note: beat=97, position=9, pitch=A3, duration=1, instrument=cello
Note: beat=97, position=10, pitch=C#4, duration=2, instrument=cello
Note: beat=98, position=0, pitch=F#3, duration=2, instrument=cello
Note: beat=98, position=2, pitch=A3, duration=1, instrument=cello
Note: beat=98, position=3, pitch=D4, duration=1, instrument=cello
Note: beat=98, position=4, pitch=C#4, duration=2, instrument=cello
Note: beat=98, position=6, pitch=B3, duration=2, instrument=cello
Note: beat=98, position=8, pitch=D4, duration=1, instrument=cello
Note: beat=98, position=9, pitch=G#3, duration=1, instrument=cello
Note: beat=98, position=10, pitch=B3, duration=2, instrument=cello
Note: beat=99, position=0, pitch=F3, duration=2, instrument=cello
Note: beat=99, position=2, pitch=G#3, duration=1, instrument=cello
Note: beat=99, position=3, pitch=C#4, duration=1, instrument=cello
Note: beat=99, position=4, pitch=B3, duration=2, instrument=cello
