Start of song
Instrument: viola
Start of notes
Note: beat=42, position=4, pitch=A3, duration=2, instrument=viola
Note: beat=42, position=6, pitch=B3, duration=3, instrument=viola
Note: beat=42, position=9, pitch=G3, duration=3, instrument=viola
Note: beat=43, position=0, pitch=F#3, duration=6, instrument=viola
Note: beat=43, position=6, pitch=G3, duration=6, instrument=viola
Note: beat=44, position=0, pitch=A3, duration=3, instrument=viola
Note: beat=44, position=3, pitch=D4, duration=3, instrument=viola
Note: beat=44, position=6, pitch=B3, duration=3, instrument=viola
Note: beat=44, position=9, pitch=G3, duration=3, instrument=viola
Note: beat=45, position=0, pitch=D3, duration=6, instrument=viola
Note: beat=46, position=0, pitch=D4, duration=3, instrument=viola
Note: beat=46, position=3, pitch=G4, duration=6, instrument=viola
Note: beat=46, position=9, pitch=F#4, duration=3, instrument=viola
Note: beat=47, position=0, pitch=B3, duration=3, instrument=viola
Note: beat=47, position=3, pitch=E4, duration=6, instrument=viola
Note: beat=47, position=9, pitch=D4, duration=3, instrument=viola
Note: beat=48, position=0, pitch=G3, duration=3, instrument=viola
Note: beat=48, position=3, pitch=C4, duration=6, instrument=viola
Note: beat=48, position=9, pitch=B3, duration=3, instrument=viola
Note: beat=49, position=0, pitch=E4, duration=6, instrument=viola
Note: beat=49, position=6, pitch=D4, duration=6, instrument=viola
Note: beat=50, position=0, pitch=C4, duration=3, instrument=viola
Note: beat=50, position=3, pitch=B3, duration=1, instrument=viola
Note: beat=50, position=4, pitch=A3, duration=2, instrument=viola
Note: beat=50, position=6, pitch=B3, duration=3, instrument=viola
Note: beat=50, position=9, pitch=G3, duration=3, instrument=viola
Note: beat=51, position=0, pitch=F#3, duration=6, instrument=viola
Note: beat=51, position=6, pitch=G3, duration=6, instrument=viola
Note: beat=52, position=0, pitch=A3, duration=3, instrument=viola
Note: beat=52, position=3, pitch=D4, duration=3, instrument=viola
Note: beat=52, position=6, pitch=B3, duration=3, instrument=viola
Note: beat=52, position=9, pitch=G3, duration=3, instrument=viola
Note: beat=53, position=0, pitch=D3, duration=6, instrument=viola
Note: beat=53, position=6, pitch=D4, duration=6, instrument=viola
Note: beat=54, position=0, pitch=D4, duration=3, instrument=viola
Note: beat=54, position=3, pitch=C4, duration=1, instrument=viola
Note: beat=54, position=4, pitch=B3, duration=2, instrument=viola
Note: beat=54, position=6, pitch=C4, duration=3, instrument=viola
Note: beat=54, position=9, pitch=B3, duration=1, instrument=viola
Note: beat=54, position=10, pitch=A3, duration=2, instrument=viola
Note: beat=55, position=0, pitch=B3, duration=3, instrument=viola
Note: beat=55, position=3, pitch=A3, duration=1, instrument=viola
Note: beat=55, position=4, pitch=G3, duration=2, instrument=viola
Note: beat=55, position=6, pitch=A3, duration=3, instrument=viola
Note: beat=55, position=9, pitch=G3, duration=1, instrument=viola
Note: beat=55, position=10, pitch=F#3, duration=2, instrument=viola
Note: beat=56, position=0, pitch=G3, duration=3, instrument=viola
Note: beat=56, position=3, pitch=B3, duration=3, instrument=viola
Note: beat=56, position=6, pitch=C4, duration=3, instrument=viola
Note: beat=56, position=9, pitch=D4, duration=3, instrument=viola
Note: beat=57, position=0, pitch=G3, duration=6, instrument=viola
Note: beat=58, position=0, pitch=G4, duration=3, instrument=viola
Note: beat=58, position=3, pitch=G4, duration=1, instrument=viola
Note: beat=58, position=4, pitch=F#4, duration=2, instrument=viola
Note: beat=58, position=6, pitch=G4, duration=3, instrument=viola
Note: beat=58, position=9, pitch=A4, duration=3, instrument=viola
Note: beat=59, position=0, pitch=B4, duration=6, instrument=viola
Note: beat=59, position=6, pitch=E4, duration=6, instrument=viola
Note: beat=60, position=0, pitch=D#4, duration=3, instrument=viola
Note: beat=60, position=3, pitch=B3, duration=3, instrument=viola
Note: beat=60, position=6, pitch=G4, duration=3, instrument=viola
Note: beat=60, position=9, pitch=E4, duration=3, instrument=viola
Note: beat=61, position=0, pitch=B4, duration=6, instrument=viola
Note: beat=61, position=6, pitch=E4, duration=6, instrument=viola
Note: beat=62, position=0, pitch=D#4, duration=3, instrument=viola
Note: beat=62, position=3, pitch=B3, duration=3, instrument=viola
Note: beat=62, position=6, pitch=G4, duration=6, instrument=viola
Note: beat=63, position=0, pitch=F#4, duration=6, instrument=viola
Note: beat=63, position=6, pitch=B3, duration=3, instrument=viola
Note: beat=63, position=9, pitch=C#4, duration=1, instrument=viola
Note: beat=63, position=10, pitch=B3, duration=2, instrument=viola
Note: beat=64, position=0, pitch=A#3, duration=3, instrument=viola
Note: beat=64, position=3, pitch=F#3, duration=3, instrument=viola
Note: beat=64, position=6, pitch=D4, duration=6, instrument=viola
Note: beat=65, position=0, pitch=C#4, duration=6, instrument=viola
Note: beat=65, position=6, pitch=B3, duration=3, instrument=viola
Note: beat=65, position=9, pitch=C#4, duration=1, instrument=viola
Note: beat=65, position=10, pitch=B3, duration=2, instrument=viola
Note: beat=66, position=0, pitch=A#3, duration=3, instrument=viola
Note: beat=66, position=3, pitch=F#3, duration=3, instrument=viola
Note: beat=66, position=6, pitch=D4, duration=6, instrument=viola
Note: beat=67, position=0, pitch=C#4, duration=6, instrument=viola
Note: beat=67, position=6, pitch=B3, duration=3, instrument=viola
Note: beat=67, position=9, pitch=C#4, duration=1, instrument=viola
Note: beat=67, position=10, pitch=D4, duration=2, instrument=viola
Note: beat=68, position=0, pitch=E4, duration=3, instrument=viola
Note: beat=68, position=3, pitch=D4, duration=1, instrument=viola
Note: beat=68, position=4, pitch=C#4, duration=2, instrument=viola
Note: beat=68, position=6, pitch=D4, duration=3, instrument=viola
Note: beat=68, position=9, pitch=E4, duration=1, instrument=viola
Note: beat=68, position=10, pitch=F#4, duration=2, instrument=viola
Note: beat=69, position=0, pitch=G4, duration=6, instrument=viola
Note: beat=69, position=6, pitch=F#4, duration=6, instrument=viola
Note: beat=70, position=0, pitch=E4, duration=3, instrument=viola
Note: beat=70, position=3, pitch=B4, duration=3, instrument=viola
Note: beat=70, position=6, pitch=A#4, duration=3, instrument=viola
Note: beat=70, position=9, pitch=A4, duration=3, instrument=viola
Note: beat=71, position=0, pitch=G#4, duration=3, instrument=viola
Note: beat=71, position=3, pitch=G4, duration=3, instrument=viola
Note: beat=71, position=6, pitch=F#4, duration=3, instrument=viola
Note: beat=71, position=9, pitch=B3, duration=3, instrument=viola
Note: beat=72, position=0, pitch=E4, duration=6, instrument=viola
Note: beat=72, position=6, pitch=D4, duration=6, instrument=viola
Note: beat=73, position=0, pitch=C#4, duration=3, instrument=viola
Note: beat=73, position=3, pitch=B3, duration=1, instrument=viola
Note: beat=73, position=4, pitch=A#3, duration=2, instrument=viola
Note: beat=73, position=6, pitch=B3, duration=3, instrument=viola
Note: beat=73, position=9, pitch=F#4, duration=3, instrument=viola
Note: beat=74, position=0, pitch=F#3, duration=3, instrument=viola
Note: beat=74, position=3, pitch=F#4, duration=3, instrument=viola
Note: beat=74, position=6, pitch=F#3, duration=3, instrument=viola
Note: beat=74, position=9, pitch=F#4, duration=3, instrument=viola
Note: beat=75, position=0, pitch=F#4, duration=3, instrument=viola
Note: beat=75, position=3, pitch=E4, duration=1, instrument=viola
Note: beat=75, position=4, pitch=D4, duration=2, instrument=viola
Note: beat=75, position=6, pitch=E4, duration=3, instrument=viola
Note: beat=75, position=9, pitch=D4, duration=1, instrument=viola
Note: beat=75, position=10, pitch=C#4, duration=2, instrument=viola
Note: beat=76, position=0, pitch=D4, duration=3, instrument=viola
Note: beat=76, position=3, pitch=C#4, duration=1, instrument=viola
Note: beat=76, position=4, pitch=B3, duration=2, instrument=viola
Note: beat=76, position=6, pitch=C#4, duration=3, instrument=viola
Note: beat=76, position=9, pitch=B3, duration=1, instrument=viola
Note: beat=76, position=10, pitch=A#3, duration=2, instrument=viola
Note: beat=77, position=0, pitch=B3, duration=3, instrument=viola
Note: beat=77, position=3, pitch=D3, duration=3, instrument=viola
Note: beat=77, position=6, pitch=E3, duration=3, instrument=viola
Note: beat=77, position=9, pitch=F#3, duration=3, instrument=viola
Note: beat=78, position=0, pitch=B3, duration=6, instrument=viola
Note: beat=78, position=9, pitch=A3, duration=3, instrument=viola
Note: beat=79, position=0, pitch=G3, duration=3, instrument=viola
Note: beat=79, position=3, pitch=A3, duration=1, instrument=viola
Note: beat=79, position=4, pitch=B3, duration=2, instrument=viola
Note: beat=79, position=6, pitch=C4, duration=2, instrument=viola
Note: beat=79, position=8, pitch=E4, duration=1, instrument=viola
Note: beat=79, position=9, pitch=D4, duration=1, instrument=viola
Note: beat=79, position=10, pitch=C4, duration=2, instrument=viola
Note: beat=80, position=0, pitch=D4, duration=3, instrument=viola
Note: beat=80, position=3, pitch=G4, duration=6, instrument=viola
Note: beat=80, position=9, pitch=F#4, duration=3, instrument=viola
Note: beat=81, position=0, pitch=B3, duration=3, instrument=viola
Note: beat=81, position=3, pitch=E4, duration=6, instrument=viola
Note: beat=81, position=9, pitch=D4, duration=3, instrument=viola
Note: beat=82, position=0, pitch=G3, duration=3, instrument=viola
Note: beat=82, position=3, pitch=C4, duration=6, instrument=viola
Note: beat=82, position=9, pitch=B3, duration=3, instrument=viola
Note: beat=83, position=0, pitch=E4, duration=6, instrument=viola
Note: beat=83, position=6, pitch=D4, duration=6, instrument=viola
Note: beat=84, position=0, pitch=C4, duration=3, instrument=viola
Note: beat=84, position=3, pitch=B3, duration=1, instrument=viola
Note: beat=84, position=4, pitch=A3, duration=2, instrument=viola
Note: beat=84, position=6, pitch=B3, duration=3, instrument=viola
Note: beat=84, position=9, pitch=G3, duration=3, instrument=viola
Note: beat=85, position=0, pitch=F#3, duration=6, instrument=viola
Note: beat=85, position=6, pitch=G3, duration=6, instrument=viola
Note: beat=86, position=0, pitch=A3, duration=3, instrument=viola
Note: beat=86, position=3, pitch=D4, duration=3, instrument=viola
Note: beat=86, position=6, pitch=B3, duration=3, instrument=viola
Note: beat=86, position=9, pitch=G3, duration=3, instrument=viola
Note: beat=87, position=0, pitch=D3, duration=6, instrument=viola
Note: beat=88, position=0, pitch=D4, duration=3, instrument=viola
Note: beat=88, position=3, pitch=G4, duration=6, instrument=viola
Note: beat=88, position=9, pitch=F#4, duration=3, instrument=viola
Note: beat=89, position=0, pitch=B3, duration=3, instrument=viola
Note: beat=89, position=3, pitch=E4, duration=6, instrument=viola
Note: beat=89, position=9, pitch=D4, duration=3, instrument=viola
Note: beat=90, position=0, pitch=G3, duration=3, instrument=viola
Note: beat=90, position=3, pitch=C4, duration=6, instrument=viola
Note: beat=90, position=9, pitch=B3, duration=3, instrument=viola
Note: beat=91, position=0, pitch=E4, duration=6, instrument=viola
Note: beat=91, position=6, pitch=D4, duration=6, instrument=viola
Note: beat=92, position=0, pitch=C4, duration=3, instrument=viola
Note: beat=92, position=3, pitch=B3, duration=1, instrument=viola
Note: beat=92, position=4, pitch=A3, duration=2, instrument=viola
Note: beat=92, position=6, pitch=B3, duration=3, instrument=viola
Note: beat=92, position=9, pitch=G3, duration=3, instrument=viola
Note: beat=93, position=0, pitch=F#3, duration=6, instrument=viola
Note: beat=93, position=6, pitch=G3, duration=6, instrument=viola
Note: beat=94, position=0, pitch=A3, duration=3, instrument=viola
Note: beat=94, position=3, pitch=D4, duration=3, instrument=viola
Note: beat=94, position=6, pitch=B3, duration=3, instrument=viola
Note: beat=94, position=9, pitch=G3, duration=3, instrument=viola
Note: beat=95, position=0, pitch=G3, duration=6, instrument=viola
Note: beat=95, position=6, pitch=D4, duration=6, instrument=viola
Note: beat=96, position=0, pitch=D4, duration=3, instrument=viola
Note: beat=96, position=3, pitch=C4, duration=1, instrument=viola
Note: beat=96, position=4, pitch=B3, duration=2, instrument=viola
Note: beat=96, position=6, pitch=C4, duration=3, instrument=viola
Note: beat=96, position=9, pitch=B3, duration=1, instrument=viola
Note: beat=96, position=10, pitch=A3, duration=2, instrument=viola
Note: beat=97, position=0, pitch=B3, duration=3, instrument=viola
Note: beat=97, position=3, pitch=A3, duration=1, instrument=viola
Note: beat=97, position=4, pitch=G3, duration=2, instrument=viola
Note: beat=97, position=6, pitch=A3, duration=3, instrument=viola
Note: beat=97, position=9, pitch=G3, duration=1, instrument=viola
Note: beat=97, position=10, pitch=F#3, duration=2, instrument=viola
Note: beat=98, position=0, pitch=G3, duration=3, instrument=viola
Note: beat=98, position=3, pitch=B3, duration=3, instrument=viola
Note: beat=98, position=6, pitch=C4, duration=3, instrument=viola
Note: beat=98, position=9, pitch=D4, duration=3, instrument=viola
Note: beat=99, position=0, pitch=G3, duration=6, instrument=viola
End of song
