Start of song
Instrument: recorder
Start of notes
Note: beat=20, position=8, pitch=G5, duration=1, instrument=recorder
Note: beat=20, position=9, pitch=E5, duration=1, instrument=recorder
Note: beat=20, position=10, pitch=G5, duration=2, instrument=recorder
Note: beat=21, position=0, pitch=C6, duration=2, instrument=recorder
Note: beat=21, position=2, pitch=C5, duration=1, instrument=recorder
Note: beat=21, position=3, pitch=B4, duration=5, instrument=recorder
Note: beat=21, position=8, pitch=C5, duration=1, instrument=recorder
Note: beat=21, position=9, pitch=C5, duration=9, instrument=recorder
Note: beat=22, position=6, pitch=C5, duration=2, instrument=recorder
Note: beat=22, position=8, pitch=D5, duration=1, instrument=recorder
Note: beat=22, position=9, pitch=D5, duration=6, instrument=recorder
Note: beat=23, position=3, pitch=E5, duration=3, instrument=recorder
Note: beat=24, position=0, pitch=D5, duration=2, instrument=recorder
Note: beat=24, position=2, pitch=E5, duration=1, instrument=recorder
Note: beat=24, position=3, pitch=E5, duration=6, instrument=recorder
Note: beat=24, position=9, pitch=F5, duration=1, instrument=recorder
Note: beat=24, position=10, pitch=G5, duration=1, instrument=recorder
Note: beat=24, position=11, pitch=A5, duration=1, instrument=recorder
Note: beat=25, position=0, pitch=G5, duration=1, instrument=recorder
Note: beat=25, position=1, pitch=F5, duration=1, instrument=recorder
Note: beat=25, position=2, pitch=D5, duration=1, instrument=recorder
Note: beat=25, position=2, pitch=E5, duration=1, instrument=recorder
Note: beat=25, position=3, pitch=A5, duration=1, instrument=recorder
Note: beat=25, position=4, pitch=D5, duration=2, instrument=recorder
Note: beat=25, position=6, pitch=F#5, duration=3, instrument=recorder
Note: beat=25, position=9, pitch=D5, duration=3, instrument=recorder
Note: beat=26, position=0, pitch=F#5, duration=3, instrument=recorder
Note: beat=26, position=3, pitch=G5, duration=1, instrument=recorder
Note: beat=26, position=4, pitch=D5, duration=2, instrument=recorder
Note: beat=26, position=6, pitch=A#5, duration=2, instrument=recorder
Note: beat=26, position=8, pitch=D5, duration=1, instrument=recorder
Note: beat=26, position=9, pitch=C6, duration=1, instrument=recorder
Note: beat=26, position=10, pitch=D5, duration=2, instrument=recorder
Note: beat=27, position=0, pitch=F#5, duration=3, instrument=recorder
Note: beat=27, position=3, pitch=D5, duration=3, instrument=recorder
Note: beat=27, position=6, pitch=F#5, duration=3, instrument=recorder
Note: beat=27, position=9, pitch=G5, duration=1, instrument=recorder
Note: beat=27, position=10, pitch=D5, duration=2, instrument=recorder
Note: beat=28, position=0, pitch=A#5, duration=2, instrument=recorder
Note: beat=28, position=2, pitch=D5, duration=1, instrument=recorder
Note: beat=28, position=3, pitch=G5, duration=1, instrument=recorder
Note: beat=28, position=4, pitch=D5, duration=2, instrument=recorder
Note: beat=28, position=6, pitch=C6, duration=2, instrument=recorder
Note: beat=28, position=8, pitch=A#5, duration=1, instrument=recorder
Note: beat=28, position=9, pitch=A5, duration=1, instrument=recorder
Note: beat=28, position=10, pitch=G5, duration=2, instrument=recorder
Note: beat=29, position=0, pitch=F#5, duration=2, instrument=recorder
Note: beat=29, position=2, pitch=E5, duration=1, instrument=recorder
Note: beat=29, position=3, pitch=D5, duration=1, instrument=recorder
Note: beat=29, position=4, pitch=E5, duration=2, instrument=recorder
Note: beat=29, position=6, pitch=F#5, duration=2, instrument=recorder
Note: beat=29, position=8, pitch=D5, duration=1, instrument=recorder
Note: beat=29, position=9, pitch=G5, duration=1, instrument=recorder
Note: beat=29, position=10, pitch=G4, duration=2, instrument=recorder
Note: beat=30, position=0, pitch=A#4, duration=2, instrument=recorder
Note: beat=30, position=2, pitch=C5, duration=1, instrument=recorder
Note: beat=30, position=3, pitch=D5, duration=1, instrument=recorder
Note: beat=30, position=4, pitch=C5, duration=2, instrument=recorder
Note: beat=30, position=6, pitch=D5, duration=2, instrument=recorder
Note: beat=30, position=8, pitch=A#4, duration=1, instrument=recorder
Note: beat=30, position=9, pitch=E5, duration=1, instrument=recorder
Note: beat=30, position=10, pitch=D5, duration=2, instrument=recorder
Note: beat=31, position=0, pitch=C#5, duration=2, instrument=recorder
Note: beat=31, position=2, pitch=D5, duration=1, instrument=recorder
Note: beat=31, position=3, pitch=C#5, duration=1, instrument=recorder
Note: beat=31, position=4, pitch=E5, duration=2, instrument=recorder
Note: beat=31, position=6, pitch=A#5, duration=2, instrument=recorder
Note: beat=31, position=8, pitch=A5, duration=1, instrument=recorder
Note: beat=31, position=9, pitch=G5, duration=1, instrument=recorder
Note: beat=31, position=10, pitch=F5, duration=2, instrument=recorder
Note: beat=32, position=0, pitch=E5, duration=2, instrument=recorder
Note: beat=32, position=2, pitch=D5, duration=1, instrument=recorder
Note: beat=32, position=3, pitch=G5, duration=5, instrument=recorder
Note: beat=32, position=8, pitch=A5, duration=1, instrument=recorder
Note: beat=32, position=9, pitch=F5, duration=3, instrument=recorder
Note: beat=33, position=0, pitch=G5, duration=2, instrument=recorder
Note: beat=33, position=2, pitch=G5, duration=1, instrument=recorder
Note: beat=33, position=3, pitch=E5, duration=5, instrument=recorder
