Start of song
Instrument: viola
Start of notes
Note: beat=91, position=6, pitch=C#4, duration=6, instrument=viola
Note: beat=92, position=0, pitch=D4, duration=3, instrument=viola
Note: beat=92, position=3, pitch=E4, duration=3, instrument=viola
Note: beat=92, position=6, pitch=F4, duration=3, instrument=viola
Note: beat=92, position=9, pitch=G4, duration=3, instrument=viola
Note: beat=93, position=0, pitch=A4, duration=6, instrument=viola
Note: beat=93, position=6, pitch=D4, duration=6, instrument=viola
Note: beat=94, position=0, pitch=G4, duration=6, instrument=viola
Note: beat=94, position=6, pitch=A#4, duration=3, instrument=viola
Note: beat=94, position=9, pitch=A4, duration=3, instrument=viola
Note: beat=95, position=0, pitch=A#4, duration=18, instrument=viola
Note: beat=96, position=6, pitch=A4, duration=3, instrument=viola
Note: beat=96, position=9, pitch=G4, duration=3, instrument=viola
Note: beat=97, position=0, pitch=F4, duration=6, instrument=viola
Note: beat=97, position=6, pitch=E4, duration=6, instrument=viola
Note: beat=98, position=0, pitch=D4, duration=12, instrument=viola
Note: beat=100, position=0, pitch=D#4, duration=18, instrument=viola
Note: beat=101, position=6, pitch=D4, duration=6, instrument=viola
Note: beat=102, position=0, pitch=C4, duration=6, instrument=viola
Note: beat=102, position=6, pitch=A#4, duration=6, instrument=viola
Note: beat=103, position=0, pitch=A4, duration=6, instrument=viola
Note: beat=103, position=6, pitch=G4, duration=6, instrument=viola
Note: beat=104, position=0, pitch=F#4, duration=6, instrument=viola
Note: beat=104, position=6, pitch=D3, duration=6, instrument=viola
Note: beat=105, position=0, pitch=D4, duration=18, instrument=viola
Note: beat=106, position=6, pitch=C4, duration=6, instrument=viola
Note: beat=107, position=0, pitch=G4, duration=6, instrument=viola
Note: beat=107, position=6, pitch=F4, duration=6, instrument=viola
Note: beat=108, position=0, pitch=D#4, duration=6, instrument=viola
Note: beat=108, position=6, pitch=D4, duration=6, instrument=viola
Note: beat=109, position=0, pitch=C4, duration=6, instrument=viola
Note: beat=109, position=6, pitch=A#3, duration=6, instrument=viola
Note: beat=110, position=0, pitch=A3, duration=3, instrument=viola
Note: beat=110, position=3, pitch=C4, duration=3, instrument=viola
Note: beat=110, position=6, pitch=A#3, duration=3, instrument=viola
Note: beat=110, position=9, pitch=A3, duration=3, instrument=viola
Note: beat=111, position=0, pitch=A#3, duration=6, instrument=viola
Note: beat=111, position=6, pitch=D3, duration=6, instrument=viola
Note: beat=112, position=0, pitch=D#3, duration=6, instrument=viola
Note: beat=112, position=6, pitch=D#4, duration=12, instrument=viola
Note: beat=113, position=6, pitch=D4, duration=6, instrument=viola
Note: beat=114, position=0, pitch=C4, duration=6, instrument=viola
Note: beat=114, position=6, pitch=A#3, duration=6, instrument=viola
Note: beat=115, position=0, pitch=A3, duration=6, instrument=viola
Note: beat=115, position=6, pitch=G3, duration=6, instrument=viola
Note: beat=116, position=0, pitch=D3, duration=12, instrument=viola
Note: beat=118, position=0, pitch=G4, duration=12, instrument=viola
Note: beat=119, position=0, pitch=G3, duration=12, instrument=viola
Note: beat=120, position=6, pitch=G4, duration=6, instrument=viola
Note: beat=121, position=0, pitch=A4, duration=6, instrument=viola
Note: beat=121, position=6, pitch=A#4, duration=6, instrument=viola
Note: beat=122, position=0, pitch=A#3, duration=6, instrument=viola
Note: beat=122, position=6, pitch=G4, duration=6, instrument=viola
Note: beat=123, position=0, pitch=A#3, duration=6, instrument=viola
Note: beat=123, position=6, pitch=F#4, duration=6, instrument=viola
Note: beat=124, position=0, pitch=G4, duration=6, instrument=viola
Note: beat=124, position=6, pitch=A#4, duration=3, instrument=viola
Note: beat=124, position=9, pitch=A4, duration=3, instrument=viola
Note: beat=125, position=0, pitch=G4, duration=3, instrument=viola
Note: beat=125, position=3, pitch=F4, duration=3, instrument=viola
Note: beat=125, position=6, pitch=D#4, duration=3, instrument=viola
Note: beat=125, position=9, pitch=D4, duration=3, instrument=viola
Note: beat=126, position=0, pitch=D#4, duration=12, instrument=viola
Note: beat=128, position=0, pitch=D4, duration=6, instrument=viola
Note: beat=128, position=6, pitch=A#3, duration=3, instrument=viola
Note: beat=128, position=9, pitch=D4, duration=3, instrument=viola
Note: beat=129, position=0, pitch=C4, duration=6, instrument=viola
Note: beat=129, position=6, pitch=A3, duration=3, instrument=viola
Note: beat=129, position=9, pitch=C4, duration=3, instrument=viola
Note: beat=130, position=0, pitch=A#3, duration=12, instrument=viola
Note: beat=132, position=0, pitch=C4, duration=6, instrument=viola
Note: beat=132, position=6, pitch=D#4, duration=3, instrument=viola
Note: beat=132, position=9, pitch=D4, duration=3, instrument=viola
Note: beat=133, position=0, pitch=C4, duration=3, instrument=viola
Note: beat=133, position=3, pitch=A#3, duration=3, instrument=viola
Note: beat=133, position=6, pitch=A3, duration=3, instrument=viola
Note: beat=133, position=9, pitch=G3, duration=3, instrument=viola
Note: beat=134, position=0, pitch=F#3, duration=6, instrument=viola
Note: beat=134, position=6, pitch=G3, duration=6, instrument=viola
Note: beat=135, position=0, pitch=A3, duration=6, instrument=viola
Note: beat=135, position=6, pitch=D3, duration=6, instrument=viola
Note: beat=137, position=0, pitch=D4, duration=12, instrument=viola
Note: beat=139, position=0, pitch=D#4, duration=12, instrument=viola
Note: beat=141, position=0, pitch=C4, duration=6, instrument=viola
Note: beat=141, position=6, pitch=A#3, duration=3, instrument=viola
Note: beat=141, position=9, pitch=A3, duration=3, instrument=viola
Note: beat=142, position=0, pitch=A#3, duration=6, instrument=viola
Note: beat=142, position=6, pitch=D4, duration=3, instrument=viola
Note: beat=142, position=9, pitch=C4, duration=3, instrument=viola
Note: beat=143, position=0, pitch=A#3, duration=6, instrument=viola
Note: beat=143, position=6, pitch=A3, duration=6, instrument=viola
Note: beat=144, position=0, pitch=G3, duration=6, instrument=viola
Note: beat=144, position=6, pitch=D#4, duration=3, instrument=viola
Note: beat=144, position=9, pitch=D4, duration=3, instrument=viola
Note: beat=145, position=0, pitch=C4, duration=3, instrument=viola
Note: beat=145, position=3, pitch=A#3, duration=3, instrument=viola
Note: beat=145, position=6, pitch=A3, duration=3, instrument=viola
Note: beat=145, position=9, pitch=G3, duration=3, instrument=viola
Note: beat=146, position=0, pitch=F#3, duration=6, instrument=viola
Note: beat=146, position=6, pitch=G3, duration=6, instrument=viola
Note: beat=147, position=0, pitch=A3, duration=6, instrument=viola
Note: beat=147, position=6, pitch=D3, duration=6, instrument=viola
Note: beat=148, position=0, pitch=G3, duration=6, instrument=viola
Note: beat=148, position=6, pitch=A#4, duration=6, instrument=viola
Note: beat=149, position=0, pitch=D3, duration=6, instrument=viola
Note: beat=149, position=6, pitch=F#4, duration=6, instrument=viola
Note: beat=150, position=0, pitch=G4, duration=12, instrument=viola
End of song
