Start of song
Instrument: harpsichord
Start of notes
Note: beat=25, position=8, pitch=B2, duration=1, instrument=harpsichord
Note: beat=25, position=9, pitch=G2, duration=1, instrument=harpsichord
Note: beat=25, position=10, pitch=B2, duration=2, instrument=harpsichord
Note: beat=26, position=0, pitch=E2, duration=3, instrument=harpsichord
Note: beat=26, position=3, pitch=E3, duration=3, instrument=harpsichord
Note: beat=26, position=6, pitch=G3, duration=3, instrument=harpsichord
Note: beat=26, position=9, pitch=A#3, duration=3, instrument=harpsichord
Note: beat=27, position=0, pitch=C#3, duration=3, instrument=harpsichord
Note: beat=27, position=8, pitch=G4, duration=1, instrument=harpsichord
Note: beat=27, position=9, pitch=F4, duration=1, instrument=harpsichord
Note: beat=27, position=10, pitch=E4, duration=2, instrument=harpsichord
Note: beat=28, position=0, pitch=D4, duration=3, instrument=harpsichord
Note: beat=28, position=3, pitch=D3, duration=3, instrument=harpsichord
Note: beat=28, position=6, pitch=F3, duration=3, instrument=harpsichord
Note: beat=28, position=9, pitch=G#3, duration=3, instrument=harpsichord
Note: beat=29, position=0, pitch=B2, duration=3, instrument=harpsichord
Note: beat=29, position=8, pitch=F4, duration=1, instrument=harpsichord
Note: beat=29, position=9, pitch=E4, duration=1, instrument=harpsichord
Note: beat=29, position=10, pitch=D4, duration=2, instrument=harpsichord
Note: beat=30, position=0, pitch=C4, duration=3, instrument=harpsichord
Note: beat=30, position=3, pitch=C3, duration=3, instrument=harpsichord
Note: beat=30, position=6, pitch=E3, duration=3, instrument=harpsichord
Note: beat=30, position=9, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=31, position=0, pitch=A2, duration=3, instrument=harpsichord
Note: beat=31, position=8, pitch=E4, duration=1, instrument=harpsichord
Note: beat=31, position=9, pitch=D#4, duration=1, instrument=harpsichord
Note: beat=31, position=10, pitch=C#4, duration=2, instrument=harpsichord
Note: beat=32, position=0, pitch=B3, duration=3, instrument=harpsichord
Note: beat=32, position=3, pitch=B2, duration=3, instrument=harpsichord
Note: beat=32, position=6, pitch=D3, duration=3, instrument=harpsichord
Note: beat=32, position=9, pitch=F3, duration=3, instrument=harpsichord
Note: beat=33, position=0, pitch=G#2, duration=3, instrument=harpsichord
Note: beat=33, position=8, pitch=D4, duration=1, instrument=harpsichord
Note: beat=33, position=9, pitch=C4, duration=1, instrument=harpsichord
Note: beat=33, position=10, pitch=B3, duration=2, instrument=harpsichord
Note: beat=34, position=0, pitch=C4, duration=3, instrument=harpsichord
Note: beat=34, position=3, pitch=A3, duration=3, instrument=harpsichord
Note: beat=34, position=6, pitch=G#3, duration=3, instrument=harpsichord
Note: beat=34, position=9, pitch=E3, duration=3, instrument=harpsichord
Note: beat=35, position=0, pitch=A3, duration=2, instrument=harpsichord
Note: beat=35, position=2, pitch=E3, duration=1, instrument=harpsichord
Note: beat=35, position=3, pitch=A3, duration=1, instrument=harpsichord
Note: beat=35, position=4, pitch=C4, duration=2, instrument=harpsichord
Note: beat=35, position=6, pitch=B3, duration=2, instrument=harpsichord
Note: beat=35, position=8, pitch=E3, duration=1, instrument=harpsichord
Note: beat=35, position=9, pitch=B3, duration=1, instrument=harpsichord
Note: beat=35, position=10, pitch=D4, duration=2, instrument=harpsichord
Note: beat=36, position=0, pitch=C4, duration=2, instrument=harpsichord
Note: beat=36, position=2, pitch=E4, duration=1, instrument=harpsichord
Note: beat=36, position=3, pitch=A4, duration=1, instrument=harpsichord
Note: beat=36, position=4, pitch=E4, duration=2, instrument=harpsichord
Note: beat=36, position=6, pitch=C4, duration=2, instrument=harpsichord
Note: beat=36, position=8, pitch=E4, duration=1, instrument=harpsichord
Note: beat=36, position=9, pitch=A3, duration=1, instrument=harpsichord
Note: beat=36, position=10, pitch=C4, duration=2, instrument=harpsichord
Note: beat=37, position=0, pitch=F#3, duration=2, instrument=harpsichord
Note: beat=37, position=2, pitch=A3, duration=1, instrument=harpsichord
Note: beat=37, position=3, pitch=C4, duration=1, instrument=harpsichord
Note: beat=37, position=4, pitch=A3, duration=2, instrument=harpsichord
Note: beat=37, position=6, pitch=F#3, duration=2, instrument=harpsichord
Note: beat=37, position=8, pitch=A3, duration=1, instrument=harpsichord
Note: beat=37, position=9, pitch=D#3, duration=1, instrument=harpsichord
Note: beat=37, position=10, pitch=F#3, duration=2, instrument=harpsichord
Note: beat=38, position=0, pitch=E3, duration=3, instrument=harpsichord
Note: beat=38, position=3, pitch=G#3, duration=3, instrument=harpsichord
Note: beat=38, position=6, pitch=B3, duration=3, instrument=harpsichord
Note: beat=38, position=9, pitch=G#3, duration=3, instrument=harpsichord
Note: beat=39, position=0, pitch=E3, duration=3, instrument=harpsichord
Note: beat=39, position=3, pitch=B2, duration=3, instrument=harpsichord
Note: beat=39, position=6, pitch=G#2, duration=3, instrument=harpsichord
Note: beat=39, position=9, pitch=E2, duration=3, instrument=harpsichord
Note: beat=40, position=0, pitch=A2, duration=3, instrument=harpsichord
Note: beat=40, position=3, pitch=C3, duration=3, instrument=harpsichord
Note: beat=40, position=6, pitch=E3, duration=3, instrument=harpsichord
Note: beat=40, position=9, pitch=C3, duration=3, instrument=harpsichord
Note: beat=41, position=0, pitch=A2, duration=3, instrument=harpsichord
Note: beat=41, position=3, pitch=C3, duration=3, instrument=harpsichord
Note: beat=41, position=6, pitch=D#2, duration=3, instrument=harpsichord
Note: beat=42, position=2, pitch=B3, duration=1, instrument=harpsichord
Note: beat=42, position=3, pitch=G#3, duration=1, instrument=harpsichord
Note: beat=42, position=4, pitch=E3, duration=2, instrument=harpsichord
Note: beat=42, position=6, pitch=D3, duration=2, instrument=harpsichord
Note: beat=42, position=8, pitch=B3, duration=1, instrument=harpsichord
Note: beat=42, position=9, pitch=G#3, duration=1, instrument=harpsichord
Note: beat=42, position=10, pitch=D3, duration=2, instrument=harpsichord
Note: beat=43, position=0, pitch=C3, duration=3, instrument=harpsichord
Note: beat=43, position=3, pitch=E3, duration=3, instrument=harpsichord
Note: beat=43, position=6, pitch=G#2, duration=3, instrument=harpsichord
Note: beat=43, position=9, pitch=E3, duration=3, instrument=harpsichord
Note: beat=44, position=0, pitch=A2, duration=3, instrument=harpsichord
Note: beat=44, position=3, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=44, position=6, pitch=B2, duration=3, instrument=harpsichord
Note: beat=44, position=9, pitch=G#3, duration=3, instrument=harpsichord
Note: beat=45, position=0, pitch=C3, duration=3, instrument=harpsichord
Note: beat=45, position=3, pitch=A3, duration=3, instrument=harpsichord
Note: beat=45, position=6, pitch=D3, duration=3, instrument=harpsichord
Note: beat=45, position=9, pitch=A#3, duration=3, instrument=harpsichord
Note: beat=46, position=0, pitch=G#3, duration=3, instrument=harpsichord
Note: beat=46, position=3, pitch=F3, duration=3, instrument=harpsichord
Note: beat=46, position=6, pitch=D3, duration=3, instrument=harpsichord
Note: beat=46, position=9, pitch=B2, duration=3, instrument=harpsichord
Note: beat=47, position=0, pitch=G#2, duration=3, instrument=harpsichord
Note: beat=47, position=3, pitch=A2, duration=3, instrument=harpsichord
Note: beat=47, position=6, pitch=D2, duration=3, instrument=harpsichord
Note: beat=47, position=9, pitch=E2, duration=3, instrument=harpsichord
Note: beat=48, position=0, pitch=F2, duration=3, instrument=harpsichord
Note: beat=48, position=3, pitch=D#2, duration=3, instrument=harpsichord
Note: beat=48, position=6, pitch=E2, duration=3, instrument=harpsichord
Note: beat=48, position=9, pitch=E3, duration=3, instrument=harpsichord
Note: beat=49, position=0, pitch=A2, duration=12, instrument=harpsichord
End of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
